corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
persian	g1-f-01	0001	#	#	#	#				
persian	g1-f-01	0001	yek	one	ln_deti	ln_deti				
persian	g1-f-01	0001	āghayi	man.indef	np.h:a	np	h	a		
persian	g1-f-01	0001	dāšte	aux.pst.3sg	aux	aux				
persian	g1-f-01	0001	az	from	adp	adp				
persian	g1-f-01	0001	deraxt	tree	np:obl	np		obl		
persian	g1-f-01	0001	golābi	pear	np:p	np		p		
persian	g1-f-01	0001	mičide	pick.pst.impf.3sg	v:pred	v		pred		
persian	g1-f-01	0002	#	#	#	#				
persian	g1-f-01	0002	bad	then	other	other				
persian	g1-f-01	0002	0	0	0.h:s	0	h	s		
persian	g1-f-01	0002	az	from	adp	adp				
persian	g1-f-01	0002	deraxt	tree	np:l	np		l		
persian	g1-f-01	0002	miāyad	come.prs.indic.3sg	v:pred	v		pred		
persian	g1-f-01	0002	pāyin	down	rv	rv				
persian	g1-f-01	0002	#	#	#	#				
persian	g1-f-01	0002	0	0	0.h:a	0	h	a		
persian	g1-f-01	0002	sabade	basket=ezafe	np:p	np		p		
persian	g1-f-01	0002	golābihā	pear.pl	rn_lex	rn_lex				
persian	g1-f-01	0002	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-f-01	0002	migozārad	put.prs.indic.3sg	v:pred	v		pred		
persian	g1-f-01	0002	ān	that	ln_dem	ln_dem				
persian	g1-f-01	0002	pāyin	down	np:l	np		l		
persian	g1-f-01	0002	#	#	#	#				
persian	g1-f-01	0002	0	0	0.h:a	0	h	a		
persian	g1-f-01	0002	az	from	adp	adp				
persian	g1-f-01	0002	tuye	inside	adp	adp				
persian	g1-f-01	0002	pišband	apron	np:l	np		l		
persian	g1-f-01	0002	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g1-f-01	0002	darmiyāvarad	take.out.prs.indic.3sg	v:pred	v		pred		
persian	g1-f-01	0002	golābihā	pear.pl	np:p	np		p		
persian	g1-f-01	0002	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-f-01	0003	#	#	#	#				
persian	g1-f-01	0003	0	0	0.h:a	0	h	a		
persian	g1-f-01	0003	mirizad	spill.prs.indic.3sg	v:pred	v		pred		
persian	g1-f-01	0003	tuye	inside	adp	adp				
persian	g1-f-01	0003	sabad	basket	np:g	np		g		
persian	g1-f-01	0003	0	0	0:p	0		p		
persian	g1-f-01	0004	#	#	#	#				
persian	g1-f-01	0004	bad	then	other	other				
persian	g1-f-01	0004	0	0	0.h:a	0	h	a		
persian	g1-f-01	0004	yeki	one	ind_pro:p	ind_pro		p		
persian	g1-f-01	0004	=š	=poss.3sg	=pro:obl	=pro		obl		
persian	g1-f-01	0004	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-f-01	0004	barmidārad	pick.up.prs.indic.3sg	v:pred	v		pred		
persian	g1-f-01	0004	#	#	#	#				
persian	g1-f-01	0004	0	0	0.h:a	0	h	a		
persian	g1-f-01	0004	mimālad	rub.prs.indic.3sg	v:pred	v		pred		
persian	g1-f-01	0004	0	0	0:p	0		p		
persian	g1-f-01	0004	be	to	adp	adp				
persian	g1-f-01	0004	pirāhan	shirt	np:obl	np		obl		
persian	g1-f-01	0004	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g1-f-01	0004	#cc	#cc	#cc	#cc				
persian	g1-f-01	0004	ke	that	ke	ke				
persian	g1-f-01	0004	0	0	0.h:a	0	h	a		
persian	g1-f-01	0004	boxorad	eat.prs.subj.3sg	v:pred	v		pred		
persian	g1-f-01	0004	0	0	0:p	0		p		
persian	g1-f-01	0005	#	#	#	#				
persian	g1-f-01	0005	yek	one	ln_deti	ln_deti				
persian	g1-f-01	0005	āghāyi	man.indef	np.h:s	np	h	s		
persian	g1-f-01	0005	ham	add	other	other				
persian	g1-f-01	0005	az	from	adp	adp				
persian	g1-f-01	0005	ān	that	ln_dem	ln_dem				
persian	g1-f-01	0005	kenār	side	np:l	np		l		
persian	g1-f-01	0005	dāšte	aux.pst.3sg	aux	aux				
persian	g1-f-01	0005	rad	passing	lvc	lvc				
persian	g1-f-01	0005	mišode	become.pst.impf.3sg	v:pred	v		pred		
persian	g1-f-01	0005	#	#	#	#				
persian	g1-f-01	0005	0	0	0.h:a	0	h	a		
persian	g1-f-01	0005	dāšte	aux.pst.3sg	aux	aux				
persian	g1-f-01	0005	gusfand	sheep	np:p	np		p		
