corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
persian	g1-f-02	0001	#	#	#	#				
persian	g1-f-02	0001	Xob	well	other	other				
persian	g1-f-02	0001	dāstāne	story=ezafe	np:s	np		s		
persian	g1-f-02	0001	film	film	np:poss	np		poss		
persian	g1-f-02	0001	injuri	like.this	other:pred	other		pred		
persian	g1-f-02	0001	bud	be.pst.3sg	cop	cop				
persian	g1-f-02	0001	ke	that	ke	ke				
persian	g1-f-02	0002	#	#	#	#				
persian	g1-f-02	0002	yek	one	ln_deti	ln_deti				
persian	g1-f-02	0002	bāqbāni	gardner.indif	np.h:a	np	h	a		
persian	g1-f-02	0002	dāšt	aux.pst.3sg	aux	aux				
persian	g1-f-02	0002	mivehā	fruits.pl	np:p	np		p		
persian	g1-f-02	0002	golābi	pear	rn_lex	rn_lex				
persian	g1-f-02	0002	mičid	pick.pst.impf.3sg	v:pred	v		pred		
persian	g1-f-02	0002	az	from	adp	adp				
persian	g1-f-02	0002	bālāye	top=ezaf	adp	adp				
persian	g1-f-02	0002	deraxt	tree	np:l	np		l		
persian	g1-f-02	0003	#	#	#	#				
persian	g1-f-02	0003	0	0	0.h:s	0	h	s		
persian	g1-f-02	0003	bad	then	other	other				
persian	g1-f-02	0003	miyāmad	come.pst.indic.3sg	v:pred	v		pred		
persian	g1-f-02	0003	#	#	#	#				
persian	g1-f-02	0003	0	0	0.h:a	0	h	a		
persian	g1-f-02	0003	migozāšt	put.pst.indic.3sg	v:pred	v		pred		
persian	g1-f-02	0003	inhā	these	pro:p	pro		p		
persian	g1-f-02	0003	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-f-02	0003	tuye	in	adp	adp				
persian	g1-f-02	0003	sabad	basket	np:l	np		l		
persian	g1-f-02	0004	#	#	#ac	#ac				
persian	g1-f-02	0004	yek	one	other	other				
persian	g1-f-02	0004	bār	time	other	other				
persian	g1-f-02	0004	ke	that	ke	ke				
