corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
persian	g2-f-06	0001	#	#	#	#				
persian	g2-f-06	0001	Yek	one	ln_deti	ln_deti				
persian	g2-f-06	0001	āqāyi	man.indef	np.h:s	np	h	s		
persian	g2-f-06	0001	bud	be.pst.indic.3sg	predex	predex				
persian	g2-f-06	0001	#rc	#rc	#rc	#rc				
persian	g2-f-06	0001	ke	that	ke	ke				
persian	g2-f-06	0001	čand	several	ln_qu	ln_qu				
persian	g2-f-06	0001	tā	piece	ln_class	ln_class				
persian	g2-f-06	0001	sabad	basket	np:p	np		p		
persian	g2-f-06	0001	čide	put.pst.ptcp	v:pred	v		pred		
persian	g2-f-06	0001	bud	aux.pst.3sg	aux	aux				
persian	g2-f-06	0002	#	#	#	#				
persian	g2-f-06	0002	ke	that	ke	ke				
persian	g2-f-06	0002	0	0	0.h:a	0	h	a		
persian	g2-f-06	0002	golābi	pear	np:p	np		p		
persian	g2-f-06	0002	az	from	adp	adp				
persian	g2-f-06	0002	deraxt	tree	np:obl	np		obl		
persian	g2-f-06	0002	bečinad	pick.prs.subj.3sg	v:pred	v		pred		
persian	g2-f-06	0002	#	#	#	#				
persian	g2-f-06	0002	0	0	0.h:a	0	h	a		
persian	g2-f-06	0002	biyāvarad	bring.prs.subj.3sg	v:pred	v		pred		
persian	g2-f-06	0002	0	0	0:p	0		p		
persian	g2-f-06	0002	#	#	#	#				
persian	g2-f-06	0002	0	0	0.h:s	0	h	s		
persian	g2-f-06	0002	tuye	inside	adp	adp				
persian	g2-f-06	0002	in	this	ln_dem	ln_dem				
persian	g2-f-06	0002	sabadhā	basket.pl	np:l	np		l		
persian	g2-f-06	0002	por	full	lvc	lvc				
persian	g2-f-06	0002	bokonad	do.prs.subj.3sg	v:pred	v		pred		
persian	g2-f-06	0003	#	#	#	#				
persian	g2-f-06	0003	albatte	of.course	other	other				
persian	g2-f-06	0003	do	two	ln_qu	ln_qu				
persian	g2-f-06	0003	tā	piece	ln_class	ln_class				
persian	g2-f-06	0003	sabad	basket	np:p	np		p		
persian	g2-f-06	0003	ke	that	ke	ke				
persian	g2-f-06	0003	aval	first	other	other				
persian	g2-f-06	0003	=aš	=poss.3sg	=pro:poss	=pro		poss		
persian	g2-f-06	0003	man	pro.1sg	pro.1:a	pro	1	a		
persian	g2-f-06	0003	didam	see.pst.1sg	v:pred	v		pred		
persian	g2-f-06	0004	#	#	#	#				
persian	g2-f-06	0004	baad	then	other	other				
persian	g2-f-06	0004	ke	that	ke	ke				
persian	g2-f-06	0004	0	0	0.h:a	0	h	a		
persian	g2-f-06	0004	āmad	come.pst.3sg	aux	aux				
persian	g2-f-06	0004	yek	one	ln_deti	ln_deti				
persian	g2-f-06	0004	sabad	basket	np:p	np		p		
persian	g2-f-06	0004	=rā	=acc	=acc_rn	=acc_rn				
persian	g2-f-06	0004	por	full	lvc	lvc				
persian	g2-f-06	0004	kard	do.pst.3sg	v:pred	v		pred		
persian	g2-f-06	0005	#	#	#	#				
persian	g2-f-06	0005	0	0	0.h:s	0	h	s		
persian	g2-f-06	0005	dobāre	again	other	other				
persian	g2-f-06	0005	raft	go.pst.3sg	v:pred	v		pred		
persian	g2-f-06	0005	bālā	up	rv	rv				
persian	g2-f-06	0006	#	#	#	#				
persian	g2-f-06	0006	ke	that	ke	ke				
persian	g2-f-06	0006	0	0	0.h:a	0	h	a		
persian	g2-f-06	0006	biyāyad	come.prs.subj.3sg	aux	aux				
persian	g2-f-06	0006	masalan	example	other	other				
persian	g2-f-06	0006	bāz	again	other	other				
persian	g2-f-06	0006	dobāre	again	other	other				
persian	g2-f-06	0006	tuye	inside	adp	adp				
persian	g2-f-06	0006	ān	that	ln_dem	ln_dem				
persian	g2-f-06	0006	boqče	pack	np:l	np		l		
persian	g2-f-06	0006	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g2-f-06	0006	golābi	pear	np:p	np		p		
persian	g2-f-06	0006	bečinad	put.prs.subj.3sg	v:pred	v		pred		
persian	g2-f-06	0006	#	#	#	#				
persian	g2-f-06	0006	0	0	0.h:a	0	h	a		
persian	g2-f-06	0006	berizad	pour.prs.subj.3sg	v:pred	v		pred		
persian	g2-f-06	0006	0	0	0:p	0		p		
persian	g2-f-06	0006	#	#	#	#				
persian	g2-f-06	0006	0	0	0.h:s	0	h	s		
persian	g2-f-06	0006	biyāyad	come.prs.subj.3sg	v:pred	v		pred		
persian	g2-f-06	0006	pāyin	down	rv	rv				
persian	g2-f-06	0006	#cc	#cc	#cc	#cc				
persian	g2-f-06	0006	0	0	0.h:a	0	h	a		
persian	g2-f-06	0006	ke	that	ke	ke				
persian	g2-f-06	0006	sabade	basket=ezafe	np:p	np		p		
persian	g2-f-06	0006	badi	next	rn_lex	rn_lex				
persian	g2-f-06	0006	=rā	=acc	=acc_rn	=acc_rn				
persian	g2-f-06	0006	por	full	lvc	lvc				
persian	g2-f-06	0006	konad	do.prs.3sg	v:pred	v		pred		
persian	g2-f-06	0007	#neg	#neg	#neg	#neg				
persian	g2-f-06	0007	ke	that	ke	ke				
persian	g2-f-06	0007	tuye	inside	other	other				
persian	g2-f-06	0007	in	this	other	other				
