corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
persian	g2-m-11	0001	#	#	#	#				
persian	g2-m-11	0001	In	this	other	other				
persian	g2-m-11	0001	ke	that	ke	ke				
persian	g2-m-11	0001	aval	first	other	other				
persian	g2-m-11	0001	yek	one	ln_deti	ln_deti				
persian	g2-m-11	0001	fardi	person	np.h:s	np	h	s		
persian	g2-m-11	0001	ruye	on	adp	adp				
persian	g2-m-11	0001	deraxt	tree	np:l	np		l		
persian	g2-m-11	0001	bud	be.pst.3sg	predex	predex				
persian	g2-m-11	0001	#	#	#	#				
persian	g2-m-11	0001	0	0	0.h:a	0	h	a		
persian	g2-m-11	0001	dāšt	aux.pst.3sg	aux	aux				
persian	g2-m-11	0001	mive	fruit	np:p	np		p		
persian	g2-m-11	0001	mičid	pick.pst.impf.3sg	v:pred	v		pred		
persian	g2-m-11	0002	#	#	#neg	#neg				
persian	g2-m-11	0002	hālā	now	other	other				
persian	g2-m-11	0002	0	0	0.1.a	0	1.a			
persian	g2-m-11	0002	nemidānam	neg.know.prs.indic.1sg	v:pred	v		pred		
persian	g2-m-11	0002	#	#	#	#				
persian	g2-m-11	0002	yek	one	ln_deti	ln_deti				
persian	g2-m-11	0002	šaxse	person=ezafe	np.h:s	np	h	s		
persian	g2-m-11	0002	digari	another	rn_lex	rn_lex				
persian	g2-m-11	0002	bud	be.pst.3sg	predex	predex				
persian	g2-m-11	0002	#	#	#	#				
persian	g2-m-11	0002	0	0	0.h:s	0	h	s		
persian	g2-m-11	0002	šāyad	maybe	other	other				
persian	g2-m-11	0002	pesar	boy	np.h:pred	np	h	pred		
persian	g2-m-11	0002	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g2-m-11	0002	bud	be.pst.3sg	cop	cop				
persian	g2-m-11	0002	#	#	#	#				
persian	g2-m-11	0002	yā	or	other	other				
persian	g2-m-11	0002	0	0	0.h:s	0	h	s		
persian	g2-m-11	0002	hamkār	colleague	np.h:pred	np	h	pred		
persian	g2-m-11	0002	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g2-m-11	0002	bud	be.pst.3sg	cop	cop				
persian	g2-m-11	0002	#	#	#	#				
persian	g2-m-11	0002	0	0	0.h:s	0	h	s		
persian	g2-m-11	0002	āmad	come.pst.prosp.3sg	v:pred	v		pred		
persian	g2-m-11	0002	ke	that	ke	ke				
persian	g2-m-11	0002	mivehā	fruit.pl	np:p	np		p		
persian	g2-m-11	0002	=rā	=acc	=acc_rn	=acc_rn				
persian	g2-m-11	0002	bebarad	take.prs.subj.3sg	v:pred	v		pred		
persian	g2-m-11	0003	#	#	#	#				
persian	g2-m-11	0003	tuye	in	other	other				
persian	g2-m-11	0003	rāh	way	other	other				
persian	g2-m-11	0003	bexatere	because.of	other	other				
persian	g2-m-11	0003	yek	one	other	other				
persian	g2-m-11	0003	havasparti	absent-mindedness	other	other				
persian	g2-m-11	0003	dočarxe	bike	np:s	np		s		
persian	g2-m-11	0003	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g2-m-11	0003	mixorad	collide.prs.indic.3sg	v:pred	v		pred		
persian	g2-m-11	0003	be	to	adp	adp				
persian	g2-m-11	0003	yek	one	ln_deti	ln_deti				
persian	g2-m-11	0003	sangi	stone.indef	np:g	np		g		
persian	g2-m-11	0003	#	#	#	#				
persian	g2-m-11	0003	ke	that	ke	ke				
persian	g2-m-11	0003	mivehāyi	fruit.pl.indef	np:p	np		p		
persian	g2-m-11	0003	ke	that	ke	ke				
persian	g2-m-11	0003	0	0	0.h:a	0	h	a		
persian	g2-m-11	0003	dāšt	aux.pst.3sg	aux	aux				
persian	g2-m-11	0003	mibord	take.pst.impf.3sg	v:pred	v		pred		
persian	g2-m-11	0003	be	to	adp	adp				
persian	g2-m-11	0003	harjāyi	everywhere	other	other				
persian	g2-m-11	0003	hālā	now	other	other				
persian	g2-m-11	0003	barāye	for	adp	adp				
persian	g2-m-11	0003	foruš	selling	np:obl	np		obl		
persian	g2-m-11	0003	yā	or	other	other				
persian	g2-m-11	0003	harčize	whatever	other	other				
persian	g2-m-11	0003	digari	other	other	other				
persian	g2-m-11	0004	#	#	#	#				
