corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
persian	g1-m-13	0001	#	#	#	#				
persian	g1-m-13	0001	Dāstān	story	np:s	np		s		
persian	g1-m-13	0001	az	from	adp	adp				
persian	g1-m-13	0001	ānjā	there	other	other				
persian	g1-m-13	0001	šoru	start	lvc	lvc				
persian	g1-m-13	0001	mišavad	become.prs.indic.3sg	v:pred	v		pred		
persian	g1-m-13	0001	#cc	#cc	#cc	#cc				
persian	g1-m-13	0001	ke	that	ke	ke				
persian	g1-m-13	0001	yek	one	ln_deti	ln_deti				
persian	g1-m-13	0001	bāqbāni	gardner.indef	np.h:a	np	h	a		
persian	g1-m-13	0001	dārad	aux.prs.3sg	aux	aux				
persian	g1-m-13	0001	az	from	adp	adp				
persian	g1-m-13	0001	yek	one	ln_deti	ln_deti				
persian	g1-m-13	0001	deraxte	tree=ezafe	np:obl	np		obl		
persian	g1-m-13	0001	golābi	pear	rn_lex	rn_lex				
persian	g1-m-13	0001	dārad	aux.prs.3sg	other	other				
persian	g1-m-13	0001	golābi	pear	np:p	np		p		
persian	g1-m-13	0001	mičinad	pick.prs.indic.3sg	v:pred	v		pred		
persian	g1-m-13	0002	#	#	#	#				
persian	g1-m-13	0002	bad	then	other	other				
persian	g1-m-13	0002	yek	a 	other	other				
persian	g1-m-13	0002	meqdār	little	other	other				
persian	g1-m-13	0002	ke	that	ke	ke				
persian	g1-m-13	0002	0	0	0.h:a	0	h	a		
persian	g1-m-13	0002	golābi	pear	np:p	np		p		
persian	g1-m-13	0002	mičinad	pick.prs.indic.3sg	v:pred	v		pred		
persian	g1-m-13	0003	#	#	#	#				
persian	g1-m-13	0003	az	from	other	other				
persian	g1-m-13	0003	ān	that	ln_dem	ln_dem				
persian	g1-m-13	0003	sabadi	basket.indef	np:s	np		s		
persian	g1-m-13	0003	#rc	#rc	#rc	#rc				
persian	g1-m-13	0003	ke	that	ke	ke				
persian	g1-m-13	0003	ruye	on	adp	adp				
persian	g1-m-13	0003	šekam	stomach	np:l	np		l		
persian	g1-m-13	0003	=aš	=poss.3sg	=pro.h:poss	=pro	h	poss		
persian	g1-m-13	0003	ast	be.prs.3sg	cop	cop				
persian	g1-m-13	0003	%	%	%	%				
persian	g1-m-13	0003	0	0	0.h:s	0	h	s		
persian	g1-m-13	0003	mixāhad	aux.prs.indic.3sg	aux	aux				
persian	g1-m-13	0003	biyāyad	come.prs.subj.3sg	v:pred	v		pred		
persian	g1-m-13	0003	pāyin	down	rv	rv				
persian	g1-m-13	0003	#cc	#cc	#cc	#cc				
persian	g1-m-13	0003	0	0	0.h:a	0	h	a		
persian	g1-m-13	0003	inhā	pro.3pl	pro:p	pro		p		
persian	g1-m-13	0003	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-m-13	0003	xāli	empty	lvc	lvc				
persian	g1-m-13	0003	konad	do.prs.3sg	v:pred	v		pred		
persian	g1-m-13	0003	tuye	in	adp	adp				
persian	g1-m-13	0003	sabadhā	basket.pl	np:l	np		l		
persian	g1-m-13	0004	#	#	#	#				
persian	g1-m-13	0004	yeki	one	ind_pro:s	ind_pro		s		
persian	g1-m-13	0004	az	of	rn_adp	rn_adp				
persian	g1-m-13	0004	golābiha	pear.pl	rn_np:obl	rn_np		obl		
persian	g1-m-13	0004	hamān	same	other	other				
persian	g1-m-13	0004	moqe	time	other	other				
persian	g1-m-13	0004	mioftad	fall.prs.indic.3sg	v:pred	v		pred		
persian	g1-m-13	0004	pāyin	down	rv	rv				
persian	g1-m-13	0005	#	#	#	#				
persian	g1-m-13	0005	dar	at	other	other				
persian	g1-m-13	0005	eyne	same	other	other				
persian	g1-m-13	0005	hāl	time	other	other				
persian	g1-m-13	0005	ke	that	ke	ke				
persian	g1-m-13	0005	bāqbān	gardner	np.h:a	np	h	a		
persian	g1-m-13	0005	dārad	aux.prs.3sg	aux	aux				
persian	g1-m-13	0005	golābihā	pear.pl	np:p	np		p		
persian	g1-m-13	0005	=rā	=acc	=acc_rn	=acc_rn				
persian	g1-m-13	0005	xāli	empty	lvc	lvc				
persian	g1-m-13	0005	mikonad	do.prs.indic.3sg	v:pred	v		pred		
persian	g1-m-13	0005	tuye	in	adp	adp				
persian	g1-m-13	0005	yeki	one	ind_pro:l 	ind_pro		l 		
