ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcpersian,Persian,Eurasia,32.9,53.3,tehr1242,,"Indo-European, Iranian, Southwestern",Iran,"Farsi, Tehran and Sari"
en,English,,,,stan1293,,,,
